                             DECLARE       	MODULE        	ID            	SEMICOL       	DRIVERDEF     	DRIVER        	PROGRAM       	DRIVERENDDEF  	DEF           	ENDDEF        	TAKES         	INPUT         	SQBO          	SQBC          	RETURNS       	COLON         	COMMA         	INTEGER       	REAL          	BOOLEAN       	ARRAY         	OF            	RANGEOP       	START         	END           	GET_VALUE     	BO            	BC            	PRINT         	NUM           	RNUM          	TRUE          	FALSE         	ASSIGNOP      	PLUS          	MINUS         	USE           	WITH          	PARAMETERS    	MUL           	DIV           	AND           	OR            	LT            	LE            	GT            	GE            	EQ            	NE            	SWITCH        	CASE          	BREAK         	DEFAULT       	FOR           	IN            	WHILE         	dollar        	epsilon
arrIndex                     	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	40            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	41            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	41
boolConst                    	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-2            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	38            	39            	-1            	-2            	-2            	-1            	-1            	-1            	-2            	-2            	-2            	-2            	-2            	-2            	-2            	-2            	-2            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1
moduleReuseStmt              	-2            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	55            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-2            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	55            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-1
assignmentStmt               	-2            	-1            	44            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-2            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-1
whichStmt                    	-2            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	46            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-2            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	45            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-1
lValueIDStmt                 	-2            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-2            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	47            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-1
lValueArrStmt                	-2            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	48            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-2            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-1
expression                   	-1            	-1            	68            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	68            	-1            	-1            	68            	68            	68            	68            	-1            	69            	69            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1
indexWithExpressions         	-1            	-1            	97            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	97            	-1            	-1            	97            	-1            	97            	97            	-1            	97            	97            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1
sign                         	-1            	-1            	54            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	54            	-1            	-1            	54            	54            	54            	54            	-1            	52            	53            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	54
